TIC_ID,T_eff (K),Start_time (TBJD),End_time (TBJD),Peak_time (TBJD),Amplitude,Duration (days),Flare_energy (erg),ED (s)
364588501,5605,2053.146893,2053.156615,2053.14805,0.022908314,0.009722156,6.59E+31,2467.204769
375034557,5913,2046.039138,2046.054184,2046.039832,0.002808527,0.015046205,7.78E+31,1559.422716
55269690,4974.779785,2039.574225,2039.583484,2039.575382,0.114537681,0.00925936,1.96E+31,3212.106748
55269690,4974.779785,2056.747086,2056.771623,2056.748012,0.110105262,0.024537262,1.94E+32,12853.15324
382043650,3432,2038.11841,2038.124197,2038.119104,0.097990922,0.005787134,1.26E+30,3738.77581
382043650,3432,2046.490534,2046.496321,2046.49146,0.08758484,0.005787125,8.79E+29,2476.920604
382258517,,2039.814861,2039.822037,2039.815324,0.016244998,0.007176023,,3235.005156
382258517,,2053.937988,2053.942386,2053.938914,0.058055109,0.004398222,,3726.990784
382258517,,2054.859299,2054.866707,2054.860688,0.036527906,0.00740753,,5361.831622
382258517,,2057.042437,2057.04753,2057.042668,0.004953427,0.005092675,,1150.791761
382258517,,2057.675086,2057.678327,2057.676012,0.018674042,0.003240793,,1042.151542
389426731,,2040.659764,2040.66231,2040.659995,0.062456892,0.002546353,,1690.581678
389426731,,2041.008846,2041.01417,2041.010234,0.051159539,0.005324191,,2302.98661
403237836,3530,2045.693552,2045.703737,2045.694478,0.044231213,0.010185313,2.74E+30,2969.129947
403237836,3530,2046.057677,2046.069251,2046.059066,0.113969224,0.011574217,5.47E+30,5743.719323
403237836,3530,2049.867672,2049.877626,2049.868135,0.042355427,0.009953767,2.41E+30,2596.232628
403237836,3530,2056.436673,2056.453803,2056.437368,0.02075514,0.017129628,5.79E+30,3350.564605
410214986,5414,2047.17975,2047.1985,2047.181833,0.018250983,0.018750293,6.85E+31,1699.184709
410214986,5414,2056.853695,2056.864343,2056.855084,0.014360539,0.010648211,1.84E+31,653.80534
431589361,3642,2039.361241,2039.366565,2039.362166,0.164315483,0.005324128,3.00E+30,5400.350296
441398770,,2050.317568,2050.362013,2050.320346,0.117028781,0.044444784,,45622.99485
441398770,,2058.23727,2058.270604,2058.239817,0.131910636,0.033333315,,23677.60566
441420236,,2053.427321,2053.460423,2053.428247,0.00665291,0.033102045,,3617.116054
441420236,,2056.910436,2056.942612,2056.912288,0.018564996,0.032175995,,6133.36649
140045538,3466,2072.335153,2072.348347,2072.336079,0.006344355,0.01319433,3.08E+30,2684.943452
140045538,3466,2081.681296,2081.689166,2081.681759,0.009704099,0.007870187,1.95E+30,3390.017893
29830830,3608,2063.933318,2063.937716,2063.934244,0.042026178,0.004398191,6.02E+29,1052.011744
141807839,3259,2079.242773,2079.247634,2079.243467,0.128788683,0.004861067,9.26E+29,3735.160019
149539114,5367,2062.343303,2062.350942,2062.344461,0.093001955,0.007638981,4.79E+31,4169.795534
167163906,5464.819824,2081.308587,2081.344003,2081.309281,0.150729182,0.035416329,1.05E+33,28862.41037
167163906,5464.819824,2081.311596,2081.336133,2081.31229,0.209622741,0.024536803,5.73E+32,23037.1712
167551757,,2065.522169,2065.526335,2065.523326,0.020958441,0.004166652,,725.8579347
167551757,,2066.208046,2066.215222,2066.208509,0.022908155,0.007175899,,1783.862115
167551757,,2079.008464,2079.01564,2079.010548,0.07102988,0.007175912,,2845.932214
31381302,2836,2062.778828,2062.780448,2062.779291,0.289436987,0.001620364,3.18E+27,1859.018405
31740375,3379,2076.569982,2076.574149,2076.570445,0.047079375,0.004166705,1.77E+29,1599.957614
31740375,3379,2079.060974,2079.079261,2079.062826,0.046494743,0.018287162,3.08E+30,6064.162275
197598732,3310,2082.545441,2082.547293,2082.545904,0.049679901,0.001851811,2.91E+28,1023.820674
201289286,3206,2079.225879,2079.22912,2079.226342,0.11055381,0.003240758,9.71E+28,2973.094095
206537793,3333,2079.225997,2079.229932,2079.22646,0.037103631,0.003935187,2.77E+29,1884.92846
206537793,3333,2080.205626,2080.211182,2080.206089,0.035856391,0.005555551,5.18E+29,2463.662278
206537793,3333,2080.904005,2080.907709,2080.905163,0.102426188,0.003703697,4.32E+29,3321.454978
206537793,3333,2082.546825,2082.551454,2082.547519,0.029463995,0.004629613,3.14E+29,1744.676246
206537793,3333,2084.59126,2084.594963,2084.591723,0.020096605,0.003703683,1.47E+29,965.980324
206592394,5597,2063.038146,2063.046711,2063.038841,0.00153831,0.008565053,5.32E+30,30.72460232
206592394,5597,2066.815326,2066.823196,2066.816715,0.019765475,0.007870555,1.27E+31,891.9800251
206592394,5597,2080.097525,2080.100997,2080.097756,0.007689604,0.003472266,2.35E+30,338.3666302
220432563,3387,2062.580263,2062.589059,2062.580726,0.020299841,0.00879648,4.33E+29,1685.072233
220432563,3387,2075.520309,2075.524476,2075.520541,0.040691801,0.004166754,1.47E+29,1389.874752
220432563,3387,2076.43005,2076.44093,2076.430513,0.027589093,0.010879843,7.82E+29,2606.765356
220432563,3387,2076.848345,2076.85066,2076.848808,0.105017834,0.002314859,6.44E+28,1183.500923
220432563,3387,2085.012603,2085.017927,2085.012835,0.018179746,0.005324154,1.42E+29,880.2205172
220473309,3884,2066.228327,2066.249161,2066.229021,0.006245308,0.020833736,1.37E+31,774.6499312
220473309,3884,2070.713595,2070.724012,2070.71429,0.042603607,0.010416852,6.53E+30,1550.641638
220473309,3884,2075.4491,2075.463452,2075.450489,0.051855335,0.014352176,1.22E+31,2081.513231
220473309,3884,2078.913755,2078.927875,2078.914681,0.046225721,0.014120644,1.03E+31,1620.733732
220473309,3884,2081.435098,2081.445052,2081.435793,0.039025241,0.009953885,5.40E+30,1261.013109
220539110,3538,2078.680886,2078.696164,2078.68297,0.035283245,0.015278003,6.45E+30,3566.579982
229807000,3453,2080.343083,2080.349101,2080.34424,0.161810975,0.006018426,1.85E+30,4804.861773
229807051,3164,2065.117053,2065.125387,2065.118442,0.73321668,0.008333324,2.46E+30,21911.72847
231020638,3356,2078.867999,2078.871703,2078.868694,0.059411679,0.00370376,1.60E+29,723.2776255
231020638,3356,2079.268005,2079.277265,2079.268237,0.061370463,0.009259395,1.33E+30,2639.634754
231267979,3418,2064.990753,2064.993299,2064.991216,0.055849469,0.0025463,3.70E+29,2363.396456
231267979,3418,2077.297173,2077.304581,2077.297868,0.029508087,0.007407299,1.99E+30,4134.348236
231267979,3418,2079.157329,2079.165894,2079.159181,0.132565619,0.008564671,6.45E+30,12557.2289
231799463,,2078.92133,2078.933367,2078.924108,334.8971792,0.012037008,,30013.20485
231914259,,2061.974221,2061.985564,2061.974916,0.041767473,0.011342796,,2350.186888
231914259,,2067.001141,2067.004151,2067.001836,0.022014419,0.003009292,,190.3562651
231914259,,2071.283587,2071.290763,2071.284282,0.040221302,0.007175979,,1113.569714
231914259,,2077.901913,2077.909783,2077.902376,0.030396978,0.00787038,,1345.206168
232073219,,2062.616159,2062.620326,2062.617548,0.445666053,0.004166707,,5735.610198
232073219,,2079.805803,2079.809738,2079.80696,0.213622095,0.003935176,,2420.46847
234290432,3617,2064.671937,2064.679113,2064.673789,0.081752263,0.007175959,2.00E+30,2745.090118
234290432,3617,2069.808754,2069.814078,2069.810375,0.117883117,0.005324074,1.07E+30,1970.313247
234506911,3526,2071.230827,2071.239161,2071.23129,0.009632201,0.008333397,1.07E+30,1316.128529
234506911,3526,2071.457681,2071.483607,2071.45907,0.128315837,0.025926122,3.93E+31,21573.58382
234509975,3476,2069.289422,2069.291968,2069.290116,0.053891282,0.002546327,9.75E+28,1084.129167
234526939,3166,2068.611409,2068.614419,2068.612335,0.078508943,0.003009285,3.06E+28,2190.044492
234526939,3166,2080.358688,2080.363318,2080.359846,0.085740196,0.004629626,1.04E+29,4947.104605
237883772,3142,2071.260249,2071.262333,2071.260712,0.157208046,0.002083363,2.07E+28,919.9407011
237885807,3300,2063.691318,2063.697337,2063.692244,0.276005058,0.006018623,1.84E+30,9514.213747
237885807,3300,2084.236422,2084.25008,2084.237117,0.03847399,0.013657422,2.67E+30,5191.890065
238176832,3245,2078.402522,2078.406689,2078.403217,0.033919547,0.00416661,8.23E+28,1984.444976
238228648,3856,2076.837544,2076.841016,2076.838701,0.043196342,0.003472185,9.09E+29,1842.167252
260162387,5855,2062.447347,2062.451745,2062.448273,0.011693715,0.004398203,9.62E+30,380.2760502
260889990,,2064.637961,2064.641433,2064.639119,0.140872764,0.003472218,,1862.008922
260889990,,2065.57708,2065.582636,2065.577774,0.108386301,0.005555544,,2907.003702
260889990,,2066.159486,2066.170597,2066.16018,0.058903471,0.011111082,,3148.109477
260889990,,2067.312029,2067.316195,2067.312723,0.086718723,0.004166652,,1626.523587
266997586,5404,2063.405328,2063.406486,2063.40556,0.022261316,0.001157402,5.32E+29,412.9268496
266998480,3663,2078.270354,2078.276372,2078.271048,0.018007302,0.006018438,1.41E+30,2159.087732
273416539,3459,2066.715425,2066.719823,2066.715888,0.042459121,0.004398089,3.01E+29,984.0584922
273416539,3459,2077.652504,2077.671022,2077.65343,0.121066193,0.018518097,9.61E+30,8624.932146
273512747,3283,2068.821557,2068.827344,2068.82202,0.036212862,0.005786961,4.30E+29,3777.643278
273512747,3283,2084.550887,2084.557137,2084.55135,0.036114954,0.006249843,4.67E+29,3785.46634
279741379,4628.529785,2078.924493,2078.927965,2078.925419,0.003603313,0.003472264,1.39E+30,1008.148121
281670243,3305,2066.546895,2066.555691,2066.547589,0.076553902,0.008796504,2.08E+30,7000.448653
281670243,3305,2066.550136,2066.553376,2066.550367,0.100008284,0.003240817,3.30E+29,3067.334872
281670243,3305,2082.736287,2082.741148,2082.736981,0.054836158,0.004861149,3.49E+29,1972.860861
290496318,3404,2063.698576,2063.700659,2063.699039,0.264952086,0.002083308,3.00E+29,3145.756324
290496318,3404,2082.637125,2082.644532,2082.638051,0.022417072,0.007407229,7.89E+29,1857.45553
290496318,3404,2082.944525,2082.951469,2082.946608,0.134210671,0.006944276,2.08E+30,6277.944639
293507177,3788,2062.592899,2062.599149,2062.593825,0.038574799,0.006249967,1.24E+30,1082.345069
302116397,5531,2070.367211,2070.379248,2070.367442,0.059015279,0.012037038,1.42E+32,7124.868752
304032310,3395,2081.967423,2081.974136,2081.969275,0.126757484,0.006712872,1.33E+30,7421.89231
326446019,3297,2068.774709,2068.797394,2068.777718,0.301299241,0.022685716,2.92E+31,43606.51862
349192028,3682,2063.478594,2063.486927,2063.479983,0.245831566,0.00833329,1.05E+31,13839.4923
47424873,3191,2077.648593,2077.65901,2077.649056,0.026657926,0.010416779,6.88E+29,1908.197683
355766445,3524,2070.211398,2070.227139,2070.212092,0.069854386,0.015740808,6.61E+30,5020.54837
355766445,3524,2080.238256,2080.242654,2080.238951,0.056282827,0.004398126,3.07E+29,713.3781576
358176584,3670,2067.427519,2067.431917,2067.428677,0.092504717,0.00439807,6.49E+29,2027.886386
358176584,3670,2077.928944,2077.936814,2077.930102,0.113324026,0.007870225,2.59E+30,4620.980437
358176584,3670,2083.737165,2083.742721,2083.738091,0.116958795,0.005555444,1.24E+30,3148.733486
364588501,5605,2078.379743,2078.396873,2078.379975,0.008054195,0.017129419,1.47E+32,2693.582828
364588501,5605,2079.157048,2079.180196,2079.15728,0.030139637,0.023147856,6.30E+32,11243.53323
381949410,3543,2083.981177,2083.987427,2083.982335,0.025112727,0.006250093,9.26E+29,1790.000477
382552502,3265,2081.29009,2081.299349,2081.290321,0.051300446,0.009259379,1.05E+30,3559.384374
382552502,3265,2084.876474,2084.905641,2084.8774,0.052519563,0.029166971,1.22E+31,13565.18539
389051009,2832,2080.106119,2080.11098,2080.107277,0.307532264,0.004860995,2.30E+28,4825.971095
394137224,3439,2079.541563,2079.555221,2079.542489,0.025853058,0.01365731,5.69E+30,5329.682228
394137224,3439,2083.814442,2083.826247,2083.815368,0.016130977,0.011805431,2.44E+30,2236.624027
403237836,3530,2063.584336,2063.594522,2063.584799,0.049302636,0.010185095,2.87E+30,3148.176834
403237836,3530,2084.108485,2084.120753,2084.109642,0.19664702,0.012268159,1.09E+31,11633.38937
410214986,5414,2063.082194,2063.090528,2063.084046,0.013996743,0.008333338,1.02E+31,393.7901847
425933644,3264,2081.132495,2081.152634,2081.132958,0.029543397,0.020138863,8.45E+30,11921.51993
469978554,34000,2078.92771,2078.928635,2078.927941,0.675215806,0.000925908,4.56E+29,352.3015623
2761472,3041,2094.186718,2094.190191,2094.18695,0.122881844,0.003472283,3.49E+28,2514.802545
2761472,3041,2105.826192,2105.828275,2105.826423,0.17427963,0.00208333,1.54E+28,1876.295874
5640393,,2106.457583,2106.465221,2106.45874,0.079459745,0.007638729,,2998.558081
5640393,,2109.619315,2109.622092,2109.620009,0.128401905,0.002777707,,1563.386709
5656273,3815,2096.330139,2096.343565,2096.333611,0.226200704,0.013425899,1.17E+31,8285.855555
5656273,3815,2105.385629,2105.406693,2105.386555,0.133392555,0.021064434,4.88E+31,22717.62228
5656273,3815,2108.396216,2108.431168,2108.398299,0.062351429,0.034952912,4.34E+31,10163.48202
5676537,4515,2091.82526,2091.830121,2091.826186,0.02508421,0.00486113,1.00E+30,320.7024068
5796048,3621,2092.50537,2092.513704,2092.506065,0.01060724,0.008333402,7.61E+29,786.3982819
5796048,3621,2097.337338,2097.344051,2097.338032,0.058727756,0.006712974,1.29E+30,2388.525983
5796048,3621,2104.835006,2104.839636,2104.835469,0.089083734,0.004629573,6.92E+29,1929.866157
7151484,3403,2097.964991,2098.004805,2097.965916,0.050504411,0.039814662,6.71E+31,53066.3502
